ticker,quarter,m01p01,0p1,0p2
CMCSA,2023Q4,-0.05105139350161482,-0.04966112429579646,-0.04966112429579646
CMCSA,2024Q1,0.044658483990578576,0.04541782103368297,0.04541782103368297
CMCSA,2024Q2,-0.043888310059004385,-0.040393213265061165,-0.040393213265061165
CMCSA,2024Q3,-0.047389481209097375,-0.01687435334625888,-0.013222726256479328
CMCSA,2024Q4,0.03934270611443483,0.037063104168284094,0.037063104168284094
CMCSA,2025Q1,,,
CMCSA,2025Q2,,,
CMCSA,2025Q3,,,
CME,2023Q4,0.014703357508337126,0.02157423819514212,-0.0011838759979334486
CME,2024Q1,0.02022436230835487,0.01947813222439271,0.023932260327182448
CME,2024Q2,-0.012910945974524298,-0.019743419214629642,-0.029594897197740343
CME,2024Q3,0.019545406765541187,0.02704671551442621,0.029033350281680945
CME,2024Q4,0.007893060635765597,0.013795070094576693,0.0010182426879240432
CME,2025Q1,,,
CME,2025Q2,,,
CME,2025Q3,,,
CMG,2023Q4,0.04962225718415727,0.041978792756186815,0.041978792756186815
CMG,2024Q1,0.05711074142295303,0.06273911422263924,0.040422770400081215
CMG,2024Q2,0.06259982724397692,0.06442371447571175,0.07365508576187112
CMG,2024Q3,-0.02112424113261454,-0.004310783180501746,-0.034986179315977424
CMG,2024Q4,-0.05975163285130221,-0.08135477489749086,-0.06688290674157836
CMG,2025Q1,,,
CMG,2025Q2,,,
CMG,2025Q3,,,
CMI,2023Q4,-0.01617494958368314,-0.023377933493380198,-0.023377933493380198
CMI,2024Q1,0.017722855584481906,0.023277420213413037,0.02325730728758535
CMI,2024Q2,-0.019420474299415236,-0.01804336794134603,-0.01804336794134603
CMI,2024Q3,0.025996918879599352,0.03815472495811633,0.03815472495811633
CMI,2024Q4,0.031802007590772875,0.04080073838689,0.042228796679878784
CMI,2025Q1,,,
CMI,2025Q2,,,
CMI,2025Q3,,,
CMS,2023Q4,0.04823876258594577,0.017393900601709825,0.017393900601709825
CMS,2024Q1,0.02049454989167773,0.01877221997890255,0.01877221997890255
CMS,2024Q2,-0.0024660966741429716,-0.007789249003040354,-0.007789249003040354
CMS,2024Q3,0.024195822520858043,-0.0027994943545642925,-0.0027994943545642925
CMS,2024Q4,-0.022938931695897787,-0.026430751387224366,-0.026430751387224366
CMS,2025Q1,,,
CMS,2025Q2,,,
CMS,2025Q3,,,
CNC,2023Q4,-0.03478195382450927,-0.027106806356233207,-0.03789238792696842
CNC,2024Q1,-0.014834247508319964,0.00453035192680008,0.031579183752101565
CNC,2024Q2,-0.03500855422386864,,
CNC,2024Q3,0.10179233334106808,,
CNC,2024Q4,0.07831960925568247,,
CNC,2025Q1,,,
CNC,2025Q2,,,
CNC,2025Q3,,,
CNP,2023Q4,0.015428213979909837,-0.006556880196095828,-0.006556880196095828
CNP,2024Q1,0.01056574873401629,0.01056574873401629,-0.0033522335416846707
CNP,2024Q2,0.023360355800038087,0.0074453960010214485,0.015305702235713606
CNP,2024Q3,-0.06465461901703758,-0.06272377989466799,-0.021938874548170312
CNP,2024Q4,0.004572738367808659,0.004572738367808659,-0.0032510485897437385
CNP,2025Q1,,,
CNP,2025Q2,,,
CNP,2025Q3,,,
COF,2023Q4,0.0966552385995529,0.0884713830310235,0.0884713830310235
COF,2024Q1,0.06228047650953229,0.05440180345347728,0.05440180345347728
COF,2024Q2,-0.01079689322688676,-0.014108655525459363,-0.014108655525459363
COF,2024Q3,-0.008314209880411375,0.0137682765042467,0.020735916093870703
COF,2024Q4,0.0455599111461767,0.06078243466984207,0.06078243466984207
COF,2025Q1,,,
COF,2025Q2,,,
COF,2025Q3,,,
COIN,2023Q4,0.003379233564083206,0.019247223065394822,0.019247223065394822
COIN,2024Q1,0.1873252730274035,0.09981585783303923,0.09981585783303923
COIN,2024Q2,-0.005474106678458709,0.019368414535867615,0.019368414535867615
COIN,2024Q3,0.14907586789772287,0.041426838196297,0.041426838196297
COIN,2024Q4,-0.11446537948078825,-0.12026540858804693,-0.11386069632154558
COIN,2025Q1,,,
COIN,2025Q2,,,
COIN,2025Q3,,,
COO,2023Q4,-0.02415254912952392,,
COO,2024Q1,0.07719144092289373,,
COO,2024Q2,0.008649604750107998,,
COO,2024Q3,0.1306227314507534,,0.11607975171881794
COO,2024Q4,-0.06303122856293321,,
COO,2025Q1,,,
COO,2025Q2,,,
COO,2025Q3,,,
COP,2023Q4,-0.06414387294568097,-0.03860966464404107,-0.03860966464404107
COP,2024Q1,0.0021362810749247854,-0.002767896594702144,-0.002767896594702144
COP,2024Q2,-0.023780559492586846,-0.02781039515473583,-0.02781039515473583
COP,2024Q3,-0.019565421577947516,-0.027767913714237633,-0.027767913714237633
COP,2024Q4,0.06126652339288388,0.05878945950935806,0.05878945950935806
COP,2025Q1,,,
COP,2025Q2,,,
COP,2025Q3,,,
COR,2023Q4,,,
COR,2024Q1,0.07181844399752726,0.06996852380956115,0.06393549396449434
COR,2024Q2,-0.06246396900208516,-0.05385969081758361,-0.058029469252749294
COR,2024Q3,0.06417523922320424,0.031018606242007786,0.03172377753968875
COR,2024Q4,0.05988493938840221,0.05645760621724317,0.06471590120857437
COR,2025Q1,,,
COR,2025Q2,,,
COR,2025Q3,,,
COST,2023Q3,0.018563330121131823,0.020113525234865783,0.02371693386834017
COST,2023Q4,0.041101687169492404,0.026524294021464407,0.026524294021464407
COST,2024Q1,-0.04700612182965852,-0.06394749033162364,-0.06394749033162364
COST,2024Q2,-0.005269073181892868,0.001644919565624979,0.001644919565624979
